territory,site,EX,time,sample_year,build_year,unbrowsed_twigs,browsed_twigs
Casault,CA1001,EX,T1,2011,2010,2420,0
Casault,CA1001,EX,T2,2012,2010,3425,0
Casault,CA1001,EX,T3,2013,2010,7074,0
Casault,CA1001,EX,T4,2014,2010,7453,0
Casault,CA1001,EX,T6,2016,2010,9119,0
Casault,CA1001,TE,T1,2011,2010,205,218
Casault,CA1001,TE,T2,2012,2010,341,308
Casault,CA1001,TE,T3,2013,2010,664,566
Casault,CA1001,TE,T4,2014,2010,622,664
Casault,CA1001,TE,T6,2016,2010,1109,1026
Casault,CA1002,EX,T1,2011,2010,335,0
Casault,CA1002,EX,T2,2012,2010,950,0
Casault,CA1002,EX,T3,2013,2010,2569,0
Casault,CA1002,EX,T4,2014,2010,3909,0
Casault,CA1002,EX,T6,2016,2010,9283,0
Casault,CA1002,TE,T1,2011,2010,646,23
Casault,CA1002,TE,T2,2012,2010,552,233
Casault,CA1002,TE,T3,2013,2010,1247,608
Casault,CA1002,TE,T4,2014,2010,889,669
Casault,CA1002,TE,T6,2016,2010,4112,1416
Casault,CA1003,EX,T1,2011,2010,959,0
Casault,CA1003,EX,T2,2012,2010,682,0
Casault,CA1003,EX,T3,2013,2010,1343,0
Casault,CA1003,EX,T4,2014,2010,1415,0
Casault,CA1003,EX,T6,2016,2010,4504,0
Casault,CA1003,TE,T1,2011,2010,1157,109
Casault,CA1003,TE,T2,2012,2010,774,245
Casault,CA1003,TE,T3,2013,2010,1432,150
Casault,CA1003,TE,T4,2014,2010,1242,441
Casault,CA1003,TE,T6,2016,2010,4944,115
Casault,CA1104,EX,T1,2012,2011,473,0
Casault,CA1104,EX,T2,2013,2011,1380,0
Casault,CA1104,EX,T3,2014,2011,2545,0
Casault,CA1104,EX,T4,2015,2011,3886,0
Casault,CA1104,EX,T5,2016,2011,6889,0
Casault,CA1104,TE,T1,2012,2011,509,16
Casault,CA1104,TE,T2,2013,2011,428,357
Casault,CA1104,TE,T3,2014,2011,849,715
Casault,CA1104,TE,T4,2015,2011,1904,384
Casault,CA1104,TE,T5,2016,2011,2477,1007
Casault,CA1105,EX,T1,2012,2011,486,0
Casault,CA1105,EX,T2,2013,2011,1492,0
Casault,CA1105,EX,T3,2014,2011,2279,0
Casault,CA1105,EX,T4,2015,2011,2960,0
Casault,CA1105,EX,T5,2016,2011,5693,0
Casault,CA1105,TE,T1,2012,2011,275,57
Casault,CA1105,TE,T2,2013,2011,657,123
Casault,CA1105,TE,T3,2014,2011,912,320
Casault,CA1105,TE,T4,2015,2011,1236,174
Casault,CA1105,TE,T5,2016,2011,2777,498
Chic-Chocs,CH1001,EX,T1,2011,2010,26,0
Chic-Chocs,CH1001,EX,T2,2012,2010,35,0
Chic-Chocs,CH1001,EX,T3,2013,2010,70,0
Chic-Chocs,CH1001,EX,T4,2014,2010,279,0
Chic-Chocs,CH1001,EX,T6,2016,2010,1822,0
Chic-Chocs,CH1001,TE,T1,2011,2010,2403,393
Chic-Chocs,CH1001,TE,T2,2012,2010,2134,NA
Chic-Chocs,CH1001,TE,T3,2013,2010,3951,196
Chic-Chocs,CH1001,TE,T4,2014,2010,7178,153
Chic-Chocs,CH1001,TE,T6,2016,2010,14262,193
Chic-Chocs,CH1002,EX,T1,2011,2010,4306,0
Chic-Chocs,CH1002,EX,T2,2012,2010,4903,0
Chic-Chocs,CH1002,EX,T3,2013,2010,7652,0
Chic-Chocs,CH1002,EX,T4,2014,2010,9814,0
