time,id,site,x,y,territory,EX,auc_diff,class2_auc_diff,Abibal,Acespi,Aranud,Betpap,Corcan,Drycar,Linbor,Maican,Oxamon,Poptre,Prupen,Rubida,Sorame,Clibor,Epiang,Fraame,Lysbor,Ortsec,Osmcla,Picea,Ribgla,Sampub,Sympun,Betall,Coptri,Rubpub,Thuocc,Mitnud,Grass,Amecan,Carex,Lacbie,Lycopod,Gymdis,Acerub,Rumaca,Pilcae,Taroff,Polyvir,Pteaqu,Epigla,Solmac,Gauhis,Anamar,Geumac,Nabtri,Salix,Riblac,Solcan,Vibedu,Galtri,Athfil,Ciralp,Corsto,Corcor,Monuni,Strlan,Phecon,Loncan,Alnrug,Equarv,Impcap
T2,CA1001_EX,CA1001,332458.5303,5365787.26,Casault,EX,0,Exclosure,0.119722222,0.399444444,0.066111111,0.110277778,0.831944444,0.093888889,0.009444444,0.001944444,0.071666667,0.129722222,0.012222222,0.454722222,0.0175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T3,CA1001_EX,CA1001,332458.5303,5365787.26,Casault,EX,0,Exclosure,0.115238095,0.165238095,0.076904762,0.134761905,0.506666667,0.075,0.011904762,0.029761905,0.044285714,0.034761905,0.002142857,0.367380952,0.016428571,0.000952381,0.005,0.022142857,0.005476191,0.002380952,0.003095238,0.002380952,0.024761905,0.002619048,0.003095238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T4,CA1001_EX,CA1001,332458.5303,5365787.26,Casault,EX,0,Exclosure,0.186904762,0.307380952,0.101428571,0,0.658571429,0.097380952,0.013333333,0.022619048,0.069761905,0.025238095,0,0.486428571,0.008095238,0.006190476,0.007619048,0.022380952,0.017857143,0,0,0,0.015238095,0.002619048,0,0.201190476,0.001666667,0.021190476,0.001666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T5,CA1001_EX,CA1001,332458.5303,5365787.26,Casault,EX,0,Exclosure,0.171621429,0.165147619,0.051795238,0.039185714,0.610016667,0.084130952,0.003226191,0.012847619,0.01665,0.006009524,2.85714E-05,0.327064286,0.000954762,0.001158095,0.006028571,0.006869048,0.007164286,0,0,0,0.010880952,0.000521429,0,0.062938095,0.000218214,0.004961905,0.002708466,0.00013869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T6,CA1001_EX,CA1001,332458.5303,5365787.26,Casault,EX,0,Exclosure,0.211666667,0.09,0.04952381,0.060476191,0.555476191,0.09,0.000476191,0.02,0.005952381,0.003571429,0.000238095,0.252619048,0,0,0.009761905,0.006666667,0.006428571,0,0,0,0.018571429,0,0,0,0,0.000238095,0.005476191,0.000714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T2,CA1001_TE,CA1001,332459.1032,5365826.443,Casault,TE,24890,Higher,0.008611111,0.407777778,0.013888889,0,0.281944444,0.121111111,0,0.095,0.046388889,0.125277778,0.073333333,0.660277778,0,0,0.021111111,0,0.005277778,0,0,0,0,0.055555556,0,0,0,0,0.004444444,0,0.018888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T3,CA1001_TE,CA1001,332459.1032,5365826.443,Casault,TE,24890,Higher,0.005238095,0.32047619,0.019285714,0.008809524,0.208095238,0.082380952,0,0.035714286,0.021666667,0.031190476,0.03952381,0.873095238,0.001428571,0,0.007619048,0,0.001428571,0,0,0,0,0.039761905,0,0,0,0,0.005714286,0,0.000238095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T4,CA1001_TE,CA1001,332459.1032,5365826.443,Casault,TE,24890,Higher,0.012142857,0,0.032142857,0.008095238,0.385,0.169285714,0,0.026666667,0.017619048,0.089285714,0.082857143,0.820476191,0.001904762,0.001190476,0.02452381,0,0,0,0,0,0.036666667,0.037857143,0,0.002142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T5,CA1001_TE,CA1001,332459.1032,5365826.443,Casault,TE,24890,Higher,0.01110873,0.231438095,0.011457143,0.00967619,0.21545,0.115569048,0,0.008252381,0.002842857,0.014559524,0.027133333,0.792659524,0.009446429,0.0002125,0.012821429,0,0.003677513,0,0,0,0.008078572,0.011371429,0,0.000503135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T6,CA1001_TE,CA1001,332459.1032,5365826.443,Casault,TE,24890,Higher,0.018333333,0.463809524,0.009761905,0.020476191,0.186666667,0.10952381,0,0.007142857,0.002857143,0.002619048,0.026666667,0.801190476,0.024761905,0,0.018333333,0,0.007380952,0,0,0,0,0.013095238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
