time,id,site,x,y,territory,EX,auc_diff,class2_auc_diff,Abibal,Acerub,Acespi,Alnrug,Amecan,Corcor,Corsto,Loncan,Popbal,Poptre,Prupen,Sampub,Sorame,Thuocc,Picea,Betula
T2,CA1001_EX,CA1001,332458.5303,5365787.26,Casault,EX,0,Exclosure,3,0,32,0,0,0,0,0,1,165,0,0,0,0,0,4
T3,CA1001_EX,CA1001,332458.5303,5365787.26,Casault,EX,0,Exclosure,23,0,179,0,0,0,0,0,0,175,1,0,10,0,0,41
T4,CA1001_EX,CA1001,332458.5303,5365787.26,Casault,EX,0,Exclosure,45,0,165,0,0,0,0,0,0,121,2,0,10,0,0,81
T5,CA1001_EX,CA1001,332458.5303,5365787.26,Casault,EX,0,Exclosure,107,0,134,0,0,0,0,0,0,124,2,0,19,0,1,64
T6,CA1001_EX,CA1001,332458.5303,5365787.26,Casault,EX,0,Exclosure,125,0,145,0,0,0,0,0,0,111,5,0,16,0,0,58
T2,CA1001_TE,CA1001,332459.1032,5365826.443,Casault,TE,24890,Higher,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
T3,CA1001_TE,CA1001,332459.1032,5365826.443,Casault,TE,24890,Higher,1,0,91,0,0,0,0,0,0,41,11,0,0,0,0,0
T4,CA1001_TE,CA1001,332459.1032,5365826.443,Casault,TE,24890,Higher,2,0,114,0,0,0,0,0,0,37,23,0,3,0,1,0
T5,CA1001_TE,CA1001,332459.1032,5365826.443,Casault,TE,24890,Higher,0,0,115,0,0,0,0,0,0,29,37,8,2,0,0,3
T6,CA1001_TE,CA1001,332459.1032,5365826.443,Casault,TE,24890,Higher,1,0,135,0,0,0,0,0,0,64,33,3,4,0,0,2
T2,CA1002_EX,CA1002,336489.7491,5364785.896,Casault,EX,0,Exclosure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T3,CA1002_EX,CA1002,336489.7491,5364785.896,Casault,EX,0,Exclosure,1,0,0,0,0,0,0,0,0,1,100,0,3,0,0,22
T4,CA1002_EX,CA1002,336489.7491,5364785.896,Casault,EX,0,Exclosure,0,0,0,0,0,0,0,0,0,0,157,0,39,0,0,33
T5,CA1002_EX,CA1002,336489.7491,5364785.896,Casault,EX,0,Exclosure,4,0,2,0,0,0,0,0,0,0,180,0,38,0,0,46
